Leaf yellowing (chlorosis),"nutrients, water, light"
Brown / crispy tips & edges,"nutrients, water, humidity"
Brown spots / lesions,"disease, water"
Wilting / drooping,"water, temperature"
Leaf drop,"water, temperature, light"
Leaf curling,"water, temperature, light, pests"
Pale / faded color,"nutrients, light"
Leggy / etiolated growth,"light"
Soft / mushy leaves or stem,"disease, water"
Visible pests,"pests"
Powdery mildew / white residue,"disease, humidity"
Mold / algae on soil,"water, humidity"
Sunburn / scorch,"light"
Edema (blisters / corky spots),"water"
Fertilizer / mineral burn,"nutrients"
Dust buildup on leaves,"other"
